Gene stable ID,Gene name,NCBI gene ID
ENSG00000000457,SCYL3,57147
ENSG00000000460,C1orf112,55732
ENSG00000000971,CFH,3075
ENSG00000010165,EEF1AKNMT,51603
ENSG00000014914,MTMR11,10903
ENSG00000018625,ATP1A2,477
ENSG00000023572,GLRX2,51022
ENSG00000023902,PLEKHO1,51177
ENSG00000026751,SLAMF7,57823
ENSG00000027869,SH2D2A,9047
ENSG00000047410,TPR,7175
ENSG00000057252,SOAT1,6646
ENSG00000058668,ATP2B4,493
ENSG00000058673,ZC3H11A,9877
ENSG00000066294,CD84,8832
ENSG00000072694,FCGR2B,2213
ENSG00000073756,PTGS2,5743
ENSG00000075945,KIFAP3,22920
ENSG00000076258,FMO4,2329
ENSG00000076321,KLHL20,27252
ENSG00000077152,UBE2T,29089
ENSG00000077157,PPP1R12B,4660
ENSG00000081237,PTPRC,5788
ENSG00000081721,DUSP12,11266
ENSG00000090104,RGS1,5996
ENSG00000094975,SUCO,51430
ENSG00000116161,CACYBP,27101
ENSG00000116191,RALGPS2,55103
ENSG00000116199,FAM20B,9917
ENSG00000116260,QSOX1,5768
ENSG00000116406,EDEM3,80267
ENSG00000116521,SCAMP3,10067
ENSG00000116539,ASH1L,55870
ENSG00000116580,GON4L,54856
ENSG00000116584,ARHGEF2,9181
ENSG00000116586,LAMTOR2,28956
ENSG00000116604,MEF2D,4209
ENSG00000116667,C1orf21,81563
ENSG00000116668,SWT1,54823
ENSG00000116679,IVNS1ABP,10625
ENSG00000116690,PRG4,10216
ENSG00000116698,SMG7,9887
ENSG00000116701,NCF2,4688
ENSG00000116711,PLA2G4A,5321
ENSG00000116741,RGS2,5997
ENSG00000116747,RO60,6738
ENSG00000116750,UCHL5,51377
ENSG00000116852,KIF21B,23046
ENSG00000116857,TMEM9,252839
ENSG00000117036,ETV3,2117
ENSG00000117090,SLAMF1,6504
ENSG00000117091,CD48,962
ENSG00000117139,KDM5B,10765
ENSG00000117143,UAP1,6675
